Year,j_new_construction,j_renovation,j_occupancy,ownerType,j_zip,valuation,Number_ParID,j_parcel_id,Long,Lat
2018,FALSE,FALSE,1-2FAM,*,2132,5000,2007898000,2007898000,-71.16703224,42.28901249
2016,FALSE,FALSE,1-2FAM,*,2131,13125,2005294000,2005294000,-71.12850716,42.29168565
2019,FALSE,TRUE,Comm,c,2125,2000,1302173000,1302173000,-71.05742374,42.31329662
2021,FALSE,TRUE,1-2FAM,*,2130,7300,1901607000,1901607000,-71.12152167,42.31137467
2014,FALSE,TRUE,1-3FAM,c,2126,3800,1403894000,1403894000,-71.08758883,42.28056348
2016,FALSE,TRUE,1-3FAM,*,2131,500,1902914000,1902914000,-71.12138467,42.29338611
2011,FALSE,FALSE,7More,*,2131,7500,1902925000,1902925000,-71.12223626,42.29352038
2021,FALSE,TRUE,1-2FAM,*,2132,2500,2010617000,2010617000,-71.17132385,42.27015062
2016,FALSE,FALSE,1-2FAM,*,2122,1000,1600607000,1600607000,-71.05949725,42.29960755
2021,FALSE,TRUE,1-2FAM,*,2122,2000,1600044003,1600044003,-71.05486259,42.30126151
2021,FALSE,FALSE,1-2FAM,*,2122,2500,1600300000,1600300000,-71.05055297,42.2944113
2022,FALSE,FALSE,1-2FAM,*,2131,11555.4,1903264000,1903264000,-71.12208747,42.2906179
2017,FALSE,TRUE,1Unit,*,2121,850,1401079000,1401079000,-71.07934237,42.30470656
2017,FALSE,TRUE,1-2FAM,*,2124,5000,1703145000,1703145000,-71.07187216,42.27871867
2019,FALSE,TRUE,Multi,*,2134,26500,2101558000,2101558000,-71.13043368,42.3491482
2021,FALSE,TRUE,1-2FAM,*,2132,22300,2005835000,2005835000,-71.14930056,42.28808384
2018,FALSE,TRUE,Comm,*,2121,2500,1401063000,1401063000,-71.08001518,42.30521314
2014,FALSE,FALSE,1-2FAM,*,2125,7500,1301963000,1301963000,-71.05767814,42.31808187
2014,FALSE,FALSE,1-2FAM,*,2132,1114,2007886000,2007886000,-71.16809634,42.28967196
2021,FALSE,FALSE,1-2FAM,*,2132,500,2007272000,2007272000,-71.15545285,42.29257552
2017,FALSE,TRUE,1-2FAM,*,2130,6000,1904479000,1904479000,-71.11438147,42.28990849
2011,FALSE,TRUE,1-2FAM,t,2130,1000,1901362000,1901362000,-71.11147075,42.31117894
2012,FALSE,TRUE,1-2FAM,*,2124,600,1702257000,1702257000,-71.06849288,42.29854644
2019,FALSE,FALSE,1-2FAM,*,2125,16050,1300810000,1300810000,-71.07698863,42.3144167
2022,FALSE,TRUE,1-2FAM,c,2134,400,2101438000,2101438000,-71.13543412,42.34665878
2012,FALSE,TRUE,1-2FAM,*,2121,15800,1203261000,1203261000,-71.08813104,42.31651376
2019,FALSE,TRUE,Multi,c,2121,1978,1201991000,1201991000,-71.08622895,42.31561684
2015,FALSE,FALSE,Comm,c,2131,200,2000029000,2000029000,-71.12878921,42.28712449
2015,FALSE,FALSE,1-2FAM,*,2130,1000,1902829000,1902829000,-71.11541994,42.30006321
2013,FALSE,FALSE,1-3FAM,c,2121,250,1300744000,1300744000,-71.07710467,42.31325689
2021,FALSE,FALSE,Other,*,2124,7500,1600805000,1600805000,-71.0651204,42.29768456
2018,FALSE,FALSE,1-2FAM,t,2121,5000,1400555000,1400555000,-71.08117805,42.31043638
2019,FALSE,TRUE,1-3FAM,*,2135,22414,2101771000,2101771000,-71.14002912,42.34656144
2021,FALSE,TRUE,1-3FAM,t,2124,11800,1701382000,1701382000,-71.07473307,42.28721587
2014,FALSE,TRUE,1-3FAM,*,2121,15100,1203090000,1203090000,-71.09195452,42.31062484
2018,FALSE,FALSE,1-2FAM,*,2130,4137.52,1901415000,1901415000,-71.11328533,42.31259171
